536	656	167	567	391
33	619	416	448	22
576	263	406	16	262
339	302	178	894	689
247	763	10	56	872
569	631	884	794	803
499	791	482	934	688
32	75	750	472	546
935	835	395	7	152
676	990	684	525	568
391	442	334	808	295
185	955	210	122	93
271	200	845	728	767
507	381	897	725	760
973	469	236	422	728
913	30	375	423	894
479	47	966	462	111
672	731	344	881	780
299	234	167	380	521
586	708	674	764	471
80	829	942	42	265
4	867	535	503	369
331	16	256	60	503
630	998	493	560	334
710	14	186	225	884
324	436	437	718	258
499	402	648	505	872
357	550	185	815	395
297	352	34	107	687
374	443	38	899	740
926	715	752	284	968
682	85	768	965	422
948	439	57	127	855
810	928	399	676	841
786	880	583	295	726
624	941	570	763	693
303	261	484	865	975
649	267	254	125	463
818	704	353	777	204
129	188	774	426	966
356	328	427	129	775
699	439	18	837	960
1000	465	601	952	597
972	102	215	255	204
79	490	490	323	431
227	994	887	678	709
950	956	586	231	860
605	956	85	809	593
96	576	380	784	968
257	726	294	54	417
569	293	46	278	64
5	901	52	737	884
530	36	776	390	219
939	257	757	173	483
632	384	606	547	905
82	263	318	547	637
152	61	1000	929	796
911	488	645	642	375
75	47	619	799	101
153	740	317	922	945
628	981	310	330	101
382	629	236	617	679
942	123	741	89	63
255	596	913	863	614
400	944	42	985	499
261	226	963	95	568
757	671	708	97	795
342	174	815	28	871
151	478	342	699	329
539	959	501	246	227
626	968	920	438	48
901	93	882	118	479
449	117	200	479	874
521	313	55	407	340
28	466	586	287	468
697	246	992	623	731
848	967	543	179	336
381	927	942	255	519
153	158	171	126	886
188	103	296	741	20
655	226	704	585	77
983	216	207	827	975
324	865	156	270	703
360	450	667	959	133
990	932	576	364	502
636	338	978	156	996
89	638	992	80	776
686	480	147	658	780
984	909	888	710	722
364	701	793	605	634
942	357	836	711	405
493	994	258	742	441
921	914	849	635	900
209	18	522	801	595
291	301	502	459	127
347	312	855	472	621
394	707	632	864	270
466	445	790	442	569
663	747	785	280	572
42	62	894	287	390
527	217	517	219	744
486	847	515	60	152
495	642	855	197	397
286	751	824	111	616
552	350	266	503	17
672	20	431	436	291
958	493	27	609	986
482	555	813	765	415
594	750	278	837	722
445	573	238	523	821
337	696	92	434	655
488	437	546	554	228
811	907	291	606	225
627	911	144	754	656
702	638	32	228	996
898	952	612	63	159
100	240	246	329	492
750	45	413	506	624
204	957	214	805	443
360	94	507	67	950
587	470	608	195	403
883	940	481	54	637
613	555	460	933	182
164	168	97	957	263
334	290	339	112	939
133	430	712	589	604
877	879	12	936	28
404	856	679	5	186
457	646	840	884	15
33	813	155	824	470
912	875	795	562	818
957	857	524	640	504
432	35	429	108	973
350	860	65	604	656
596	235	688	85	30
413	398	408	361	852
832	185	407	515	918
618	813	29	417	264
430	175	522	53	400
755	779	280	452	731
146	449	142	653	817
113	682	651	262	161
199	367	809	962	246
467	790	578	307	535
655	255	206	751	258
733	560	820	367	136
525	301	102	851	104
611	646	714	740	221
748	57	140	19	347
951	413	402	313	489
525	771	506	363	965
297	364	116	285	428
240	322	481	940	490
98	499	613	810	919
581	923	297	914	899
11	579	830	509	706
537	831	230	201	401
333	312	7	276	996
600	435	214	477	346
716	909	935	52	282
901	949	642	513	126
69	370	850	437	268
964	163	578	263	837
192	426	724	261	565
925	347	952	835	328
565	523	747	804	786
528	652	127	471	267
416	780	240	565	722
281	445	867	553	683
214	140	828	846	645
889	84	605	809	53
556	745	881	330	656
898	146	412	93	65
716	46	382	767	817
224	448	537	37	139
482	859	65	136	594
958	972	810	651	266
73	389	97	975	774
109	238	349	606	382
174	276	54	892	141
339	865	737	268	95
915	66	726	5	954
693	721	890	927	668
801	132	39	511	137
662	503	674	845	68
513	490	907	683	618
246	679	495	255	638
698	890	12	327	485
997	841	800	880	767
515	361	461	894	289
22	787	995	507	310
782	793	18	174	424
173	110	420	596	390
701	953	990	994	537
142	95	784	622	569
15	709	243	476	582
283	949	247	83	164
121	15	165	767	480
439	306	536	402	563
983	490	864	980	609
